Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;Dublin;NaiveBayes;+LOD, nGrams: 2;Weighted F-Measure;0.933697;0
Boston;Chicago;NaiveBayes;+LOD, nGrams: 2;Percent Correct;0.911186;0
Boston;Chicago;NaiveBayes;+LOD, nGrams: 2;Weighted Precision;0.906790;0
Boston;Chicago;NaiveBayes;+LOD, nGrams: 2;Weighted Recall;0.911186;0
Boston;Chicago;NaiveBayes;+LOD, nGrams: 2;Weighted F-Measure;0.905851;0
Boston;Memphis;NaiveBayes;+LOD, nGrams: 2;Percent Correct;0.805360;0
Boston;Memphis;NaiveBayes;+LOD, nGrams: 2;Weighted Precision;0.808021;0
Boston;Memphis;NaiveBayes;+LOD, nGrams: 2;Weighted Recall;0.805360;0
Boston;Memphis;NaiveBayes;+LOD, nGrams: 2;Weighted F-Measure;0.792480;0
Boston;London;NaiveBayes;+LOD, nGrams: 2;Percent Correct;0.848398;0
Boston;London;NaiveBayes;+LOD, nGrams: 2;Weighted Precision;0.843297;0
Boston;London;NaiveBayes;+LOD, nGrams: 2;Weighted Recall;0.848398;0
Boston;London;NaiveBayes;+LOD, nGrams: 2;Weighted F-Measure;0.810033;0
Boston;Sydney;NaiveBayes;+LOD, nGrams: 2;Percent Correct;0.830461;0
Boston;Sydney;NaiveBayes;+LOD, nGrams: 2;Weighted Precision;0.841194;0
Boston;Sydney;NaiveBayes;+LOD, nGrams: 2;Weighted Recall;0.830461;0
Boston;Sydney;NaiveBayes;+LOD, nGrams: 2;Weighted F-Measure;0.811653;0
Boston;Brisbane;NaiveBayes;+TIME, nGrams: 2;Percent Correct;0.832547;0
Boston;Brisbane;NaiveBayes;+TIME, nGrams: 2;Weighted Precision;0.844801;0
Boston;Brisbane;NaiveBayes;+TIME, nGrams: 2;Weighted Recall;0.832547;0
Boston;Brisbane;NaiveBayes;+TIME, nGrams: 2;Weighted F-Measure;0.803189;0
Boston;Seattle;NaiveBayes;+TIME, nGrams: 2;Percent Correct;0.764428;0
Boston;Seattle;NaiveBayes;+TIME, nGrams: 2;Weighted Precision;0.771698;0
Boston;Seattle;NaiveBayes;+TIME, nGrams: 2;Weighted Recall;0.764428;0
Boston;Seattle;NaiveBayes;+TIME, nGrams: 2;Weighted F-Measure;0.745570;0
